LPN_Level                ItemId: 0303071   UnitsShipped: 0.0       (poLineQty) UnitsReceived: 256.0     poNbr: 19806  SequenceNumber: 42                                                                                      
LPN_Level                ItemId: 0303071   UnitsShipped: 256.0     (poLineQty) UnitsReceived: 0         poNbr: 19806  SequenceNumber: 41                                                                                      
LPN_Level                ItemId: 0303071   UnitsShipped: 0.0       (poLineQty) UnitsReceived: 128.0     poNbr: 19806  SequenceNumber: 30                                                                                      
LPN_Level                ItemId: 0303071   UnitsShipped: 128.0     (poLineQty) UnitsReceived: 0         poNbr: 19806  SequenceNumber: 29                                                                                      
ITEM_Level               ItemId: 0315051   UnitsShipped: 504.0     (poLineQty) UnitsReceived: 0         poNbr: 19806  SequenceNumber: 4                                                                                       
ITEM_Level               ItemId: 0320200   UnitsShipped: 600.0     (poLineQty) UnitsReceived: 0         poNbr: 19806  SequenceNumber: 43                                                                                      
ITEM_Level               ItemId: 0320200   UnitsShipped: 0.0       (poLineQty) UnitsReceived: 480.0     poNbr: 19806  SequenceNumber: 35                                                                                      
ITEM_Level               ItemId: 0320200   UnitsShipped: 0.0       (poLineQty) UnitsReceived: 180.0     poNbr: 19806  SequenceNumber: 25                                                                                      
ITEM_Level               ItemId: 0320200   UnitsShipped: 660.0     (poLineQty) UnitsReceived: 0         poNbr: 19806  SequenceNumber: 21                                                                                      
LPN_Level                ItemId: 0320200   UnitsShipped: 0.0       (poLineQty) UnitsReceived: 120.0     poNbr: 19806  SequenceNumber: 7                                                                                       
LPN_Level                ItemId: 0320200   UnitsShipped: 0.0       (poLineQty) UnitsReceived: 180.0     poNbr: 19806  SequenceNumber: 51                                                                                      
LPN_Level                ItemId: 0320200   UnitsShipped: 600.0     (poLineQty) UnitsReceived: 0         poNbr: 19806  SequenceNumber: 50                                                                                      
LPN_Level                ItemId: 0320200   UnitsShipped: 0.0       (poLineQty) UnitsReceived: 180.0     poNbr: 19806  SequenceNumber: 5                                                                                       
LPN_Level                ItemId: 0320200   UnitsShipped: 0.0       (poLineQty) UnitsReceived: 180.0     poNbr: 19806  SequenceNumber: 4                                                                                       
ITEM_Level               ItemId: 0323832   UnitsShipped: 0.0       (poLineQty) UnitsReceived: 159.0     poNbr: 19806  SequenceNumber: 60                                                                                      
ITEM_Level               ItemId: 0323832   UnitsShipped: 0.0       (poLineQty) UnitsReceived: 21.0      poNbr: 19806  SequenceNumber: 32                                                                                      
ITEM_Level               ItemId: 0323832   UnitsShipped: 180.0     (poLineQty) UnitsReceived: 0         poNbr: 19806  SequenceNumber: 11                                                                                      
LPN_Level                ItemId: 0323832   UnitsShipped: 0.0       (poLineQty) UnitsReceived: 159.0     poNbr: 19806  SequenceNumber: 36                                                                                      
LPN_Level                ItemId: 0323832   UnitsShipped: 0.0       (poLineQty) UnitsReceived: 21.0      poNbr: 19806  SequenceNumber: 32                                                                                      
ITEM_Level               ItemId: 0336271   UnitsShipped: 840.0     (poLineQty) UnitsReceived: 0         poNbr: 19806  SequenceNumber: 69                                                                                      
ITEM_Level               ItemId: 0336271   UnitsShipped: 0.0       (poLineQty) UnitsReceived: 168.0     poNbr: 19806  SequenceNumber: 46                                                                                      
LPN_Level                ItemId: 0336271   UnitsShipped: 0.0       (poLineQty) UnitsReceived: 168.0     poNbr: 19806  SequenceNumber: 13                                                                                      
ITEM_Level               ItemId: 0342098   UnitsShipped: 540.0     (poLineQty) UnitsReceived: 0         poNbr: 19806  SequenceNumber: 67                                                                                      
ITEM_Level               ItemId: 0372466   UnitsShipped: 0.0       (poLineQty) UnitsReceived: 336.0     poNbr: 19806  SequenceNumber: 53                                                                                      
ITEM_Level               ItemId: 0372466   UnitsShipped: 2016.0    (poLineQty) UnitsReceived: 0         poNbr: 19806  SequenceNumber: 3                                                                                       
LPN_Level                ItemId: 0372466   UnitsShipped: 0.0       (poLineQty) UnitsReceived: 336.0     poNbr: 19806  SequenceNumber: 20                                                                                      
ITEM_Level               ItemId: 0372888   UnitsShipped: 1008.0    (poLineQty) UnitsReceived: 0         poNbr: 19806  SequenceNumber: 9                                                                                       
ITEM_Level               ItemId: 0373332   UnitsShipped: 672.0     (poLineQty) UnitsReceived: 0         poNbr: 19806  SequenceNumber: 14                                                                                      
ITEM_Level               ItemId: 0373495   UnitsShipped: 0.0       (poLineQty) UnitsReceived: 420.0     poNbr: 19806  SequenceNumber: 54                                                                                      
ITEM_Level               ItemId: 0373495   UnitsShipped: 1020.0    (poLineQty) UnitsReceived: 0         poNbr: 19806  SequenceNumber: 19                                                                                      
LPN_Level                ItemId: 0373495   UnitsShipped: 0.0       (poLineQty) UnitsReceived: 420.0     poNbr: 19806  SequenceNumber: 44                                                                                      
ITEM_Level               ItemId: 0373496   UnitsShipped: 600.0     (poLineQty) UnitsReceived: 0         poNbr: 19806  SequenceNumber: 63                                                                                      
ITEM_Level               ItemId: 0373496   UnitsShipped: 0.0       (poLineQty) UnitsReceived: 360.0     poNbr: 19806  SequenceNumber: 52                                                                                      
ITEM_Level               ItemId: 0373496   UnitsShipped: 0.0       (poLineQty) UnitsReceived: 600.0     poNbr: 19806  SequenceNumber: 41                                                                                      
ITEM_Level               ItemId: 0373496   UnitsShipped: 960.0     (poLineQty) UnitsReceived: 0         poNbr: 19806  SequenceNumber: 2                                                                                       
LPN_Level                ItemId: 0373496   UnitsShipped: 0.0       (poLineQty) UnitsReceived: 360.0     poNbr: 19806  SequenceNumber: 40                                                                                      
LPN_Level                ItemId: 0373496   UnitsShipped: 0.0       (poLineQty) UnitsReceived: 600.0     poNbr: 19806  SequenceNumber: 19                                                                                      
