LPN_Level                ItemId: 0181883   UnitsShipped: 56.0      (poLineQty) UnitsReceived: 0         poNbr: 75630  SequenceNumber: 17                                                                                      ReceiptVariance: Y    




ITEM_Level               ItemId: 0519413   UnitsShipped: 333.0     (poLineQty) UnitsReceived: 358.0     poNbr: 75630  SequenceNumber: 4                                                                                       ReceiptVariance: Y    
LPN_Level                ItemId: 0519413   UnitsShipped: 0.0       (poLineQty) UnitsReceived: 25.0      poNbr: 75630  SequenceNumber: 51                                                                                      ReceiptVariance: Y    
LPN_Level                ItemId: 0519413   UnitsShipped: 18.0      (poLineQty) UnitsReceived: 0         poNbr: 75630  SequenceNumber: 43                                                                                      ReceiptVariance: Y    
LPN_Level                ItemId: 0519413   UnitsShipped: 0.0       (poLineQty) UnitsReceived: 9.0       poNbr: 75630  SequenceNumber: 42                                                                                      ReceiptVariance: Y    
LPN_Level                ItemId: 0519413   UnitsShipped: 45.0      (poLineQty) UnitsReceived: 0         poNbr: 75630  SequenceNumber: 41                                                                                      ReceiptVariance: Y    
LPN_Level                ItemId: 0519413   UnitsShipped: 0.0       (poLineQty) UnitsReceived: 54.0      poNbr: 75630  SequenceNumber: 40                                                                                      ReceiptVariance: Y    
LPN_Level                ItemId: 0519413   UnitsShipped: 45.0      (poLineQty) UnitsReceived: 0         poNbr: 75630  SequenceNumber: 39                                                                                      ReceiptVariance: Y    
LPN_Level                ItemId: 0519413   UnitsShipped: 0.0       (poLineQty) UnitsReceived: 54.0      poNbr: 75630  SequenceNumber: 38                                                                                      ReceiptVariance: Y    
LPN_Level                ItemId: 0519413   UnitsShipped: 45.0      (poLineQty) UnitsReceived: 0         poNbr: 75630  SequenceNumber: 37                                                                                      ReceiptVariance: Y    
LPN_Level                ItemId: 0519413   UnitsShipped: 0.0       (poLineQty) UnitsReceived: 54.0      poNbr: 75630  SequenceNumber: 36                                                                                      ReceiptVariance: Y    
LPN_Level                ItemId: 0519413   UnitsShipped: 45.0      (poLineQty) UnitsReceived: 0         poNbr: 75630  SequenceNumber: 35                                                                                      ReceiptVariance: Y    
LPN_Level                ItemId: 0519413   UnitsShipped: 0.0       (poLineQty) UnitsReceived: 54.0      poNbr: 75630  SequenceNumber: 34                                                                                      ReceiptVariance: Y    
LPN_Level                ItemId: 0519413   UnitsShipped: 45.0      (poLineQty) UnitsReceived: 0         poNbr: 75630  SequenceNumber: 33                                                                                      ReceiptVariance: Y    
LPN_Level                ItemId: 0519413   UnitsShipped: 0.0       (poLineQty) UnitsReceived: 54.0      poNbr: 75630  SequenceNumber: 32                                                                                      ReceiptVariance: Y    
LPN_Level                ItemId: 0519413   UnitsShipped: 45.0      (poLineQty) UnitsReceived: 0         poNbr: 75630  SequenceNumber: 31                                                                                      ReceiptVariance: Y    
LPN_Level                ItemId: 0519413   UnitsShipped: 0.0       (poLineQty) UnitsReceived: 54.0      poNbr: 75630  SequenceNumber: 30                                                                                      ReceiptVariance: Y    
LPN_Level                ItemId: 0519413   UnitsShipped: 45.0      (poLineQty) UnitsReceived: 0         poNbr: 75630  SequenceNumber: 29                                                                                      ReceiptVariance: Y    
ASN_Level                                  UnitsShipped: 1166.0000 (poLineQty) UnitsReceived: 1146.0000 poNbr: 75630  SequenceNumber: 3                                                                                       ReceiptVariance: Y    
